district,district_ads_count,district_median_price,district_median_price_per_sqm,district_p25_price_per_sqm,district_p75_price_per_sqm
Адмиралтейский,73,19300000.0,451851.85185185185,325510.20408163266,515585.6263228786
Большая 1ка в Московском е1-комн. квартира,1,11500000.0,207581.2274368231,207581.2274368231,207581.2274368231
Большая евро-3 в Приморском е2-комн. квартира,1,17290000.0,233018.86792452828,233018.86792452828,233018.86792452828
Василеостровский,165,23000000.0,425718.0832915203,357142.85714285716,499334.2210386152
Выборгский,68,11500000.0,242464.8327306462,201785.625,296143.7908496732
Калининский,53,10624445.0,291095.8904109589,210032.36245954697,359100.0
Квартира в развитом е!1-комн. квартира,1,8910000.0,188372.09302325585,188372.09302325585,188372.09302325585
Кировский,23,9549000.0,189523.80952380953,167164.71534237044,209193.37893257206
Колпинский,11,7500000.0,146086.95652173914,130873.39590877327,169611.3344988345
Красногвардейский,65,10300000.0,250000.0,202169.11764705885,415701.00840336137
Красносельский,45,8600000.0,223093.96897646284,183937.8238341969,261158.53658536583
Кронштадтский,15,12700000.0,289519.9957228401,255879.99731074355,297840.0049140222
Курортный,49,24506160.0,428400.0,344027.3037542662,554200.0
Московский,115,14600000.0,338071.4560122935,232688.51778861112,440766.12903225806
Невский,75,8462886.0,214129.9972504812,190613.3732947499,276627.69547325105
Петроградский,215,74551226.0,688500.0,513014.51612903224,950757.9850893902
Петродворцовый,9,5700000.0,171686.7469879518,164981.2734082397,229916.3179916318
Приморский,119,11000000.0,253120.0,213054.457619675,301644.1421266091
Пушкинский,43,7166266.0,202797.2027972028,163053.72914003386,232898.85297184566
Уютная квартира в Московском еСтудия,1,7990000.0,302651.5151515152,302651.5151515152,302651.5151515152
Фрунзенский,36,11675000.0,275360.4958677686,194624.98710409575,392205.28341254056
Центральный,121,33000000.0,472702.7027027027,281949.93412384717,660000.0
