district,rooms_count,district_rooms_ads_count,district_rooms_median_price,district_rooms_median_price_per_sqm,district_rooms_p25_price_per_sqm,district_rooms_p75_price_per_sqm
Адмиралтейский,0,21,11745270.0,451851.85185185185,409542.7509293681,610000.0
Адмиралтейский,1,13,19768939.0,486034.9127182045,444330.0,555085.0
Адмиралтейский,2,9,26794985.0,477825.03587944503,452700.0,490435.42375627934
Адмиралтейский,3,11,41008590.0,475667.0310116929,456400.0,494222.6890756303
Адмиралтейский,4,19,21700000.0,226712.32876712328,180842.2890600164,345764.63505594037
Василеостровский,0,33,12078600.0,434000.0,364928.9099526066,501691.8205804749
Василеостровский,1,32,18995052.5,444529.892808932,404297.3423190159,500610.91260112775
Василеостровский,2,35,24500000.0,392490.00175716047,339750.86965418456,458291.5943265122
Василеостровский,3,32,38017655.5,429395.0020052135,337823.9487244068,499983.1651804457
Василеостровский,4,33,51917243.0,451006.70182166825,219000.0,658684.201754386
Выборгский,0,11,6800000.0,268817.2043010753,248702.55794625543,307766.9552669553
Выборгский,1,17,8200000.0,229357.7981651376,214484.67966573816,294117.64705882355
Выборгский,2,14,11500000.0,224130.35881258443,183160.5894105894,312179.5101043724
Выборгский,3,15,15800000.0,224719.1011235955,193256.81492109038,266349.41422838287
Выборгский,4,11,23000000.0,202380.8333333333,184672.42693003925,257692.3076923077
Калининский,0,12,9445057.0,371315.1925461211,326586.5384615385,393625.0
Калининский,1,11,13999999.0,340632.5790754258,218245.96774193546,371952.36562150053
Калининский,2,14,11575000.0,227051.32579326077,183828.1052897149,286715.3508984748
Калининский,3,12,12450000.0,216593.35288367548,174655.11440107672,323263.305978898
Калининский,4,4,38000000.0,271866.8407310705,241365.9793814433,298861.7136105722
Кировский,0,2,5604741.0,238416.30893131843,233205.85874581485,243626.759116822
Кировский,1,3,6100000.0,193333.33333333334,192547.34848484848,196339.86928104574
Кировский,2,5,10300000.0,216386.55462184874,208949.67177242888,222807.01754385966
Кировский,3,5,10300000.0,164800.0,160202.36087689715,167464.11483253588
Кировский,4,8,12175000.0,174327.60598021332,166391.349414612,179368.53002070394
Колпинский,0,1,5700000.0,188118.81188118813,188118.81188118813,188118.81188118813
Колпинский,1,1,7250000.0,168997.668997669,168997.668997669,168997.668997669
Колпинский,2,4,6524725.0,145718.5606060606,117154.6425105144,183411.99324324325
Колпинский,3,4,9425000.0,145612.922705314,141015.40165809033,148297.61175750155
Колпинский,4,1,11500000.0,133101.85185185185,133101.85185185185,133101.85185185185
Красногвардейский,0,18,4628808.0,218340.0,207986.11111111112,280442.8044280443
Красногвардейский,1,14,10200000.0,280602.70639207074,203125.32100667694,414937.1221662468
Красногвардейский,2,15,16200000.0,311538.46153846156,193822.72168822723,462315.24831649836
Красногвардейский,3,11,26606745.0,350550.0,190146.1072056239,446179.5017584994
Красногвардейский,4,7,46550000.0,389539.7489539749,257334.29362126847,481045.29806370847
Красносельский,0,13,5500000.0,231092.43697478992,214170.04048582996,271186.4406779661
Красносельский,1,12,7300000.0,203411.1134055085,179747.59615384616,274155.2220813795
Красносельский,2,7,12250000.0,212199.03691813804,189807.9527740155,260656.1330579148
Красносельский,3,4,21480832.0,215480.31782156473,196765.38461538462,261640.47673234713
Красносельский,4,9,28700000.0,236701.03092783506,184977.5784753363,252835.97790830192
Кронштадтский,0,3,7715478.0,303519.98426435876,301239.99976285466,305519.983958906
Кронштадтский,1,4,10893419.5,268840.00485554745,255939.99745611803,285260.0059249947
Кронштадтский,2,4,19046118.5,292840.0017724211,291260.0015893417,308577.4992328935
Кронштадтский,3,3,21924192.0,255519.99462148713,254839.99731074358,259199.99731074355
Кронштадтский,4,1,12700000.0,171390.01349527665,171390.01349527665,171390.01349527665
Курортный,0,8,11752025.0,421699.87298899237,381216.3028315047,592198.5132382892
Курортный,1,16,15701850.0,423133.42318059294,297491.1388132038,509906.5935517054
Курортный,2,10,26312375.0,495000.0,468987.50772717904,583668.5025167785
Курортный,3,11,36153000.0,400059.5252314123,390000.0,443325.0
Курортный,4,4,37062781.5,371922.62165858515,227467.92781039356,544349.178733075
Московский,0,29,7500000.0,309911.3043478261,238601.82370820668,376194.8768864178
Московский,1,27,13590000.0,352072.53886010364,239536.8318088638,430424.8145911584
Московский,2,29,23988000.0,354822.5806451613,263406.94006309146,535535.5355355355
Московский,3,20,28076550.5,366114.05528722645,201918.5053526095,425404.8361331547
Московский,4,10,32575000.0,286295.51198356494,204714.4386253297,444500.0
Невский,0,23,5650000.0,244285.07395786644,210649.07135874877,285032.51231527096
Невский,1,20,8350000.0,215944.99248873309,202580.0220750552,275984.998746553
Невский,2,17,11200000.0,203781.51260504202,185692.5418569254,242950.10845986984
Невский,3,11,13500000.0,190548.7804878049,170270.89224262052,214891.08558176234
Невский,4,4,20179479.0,209452.36191461678,176294.94638069705,263510.8856478546
Петроградский,0,22,17782490.5,705800.0,578193.3686917055,768187.5
Петроградский,1,22,34125000.0,682328.2918149466,617487.9629629629,896456.3461641226
Петроградский,2,33,50900000.0,689189.1891891892,480000.0,980049.9999999999
Петроградский,3,52,76671250.0,575235.4166666667,444450.91347119055,896417.8571428572
Петроградский,4,86,99137000.0,717505.2995391705,520825.00000000006,1013368.6913652276
Петродворцовый,0,4,5032750.0,196417.51748251746,164995.31835205993,228355.35572168417
Петродворцовый,1,3,5700000.0,171686.7469879518,167526.5418108076,211817.39946800188
Петродворцовый,2,1,13700000.0,250915.75091575092,250915.75091575092,250915.75091575092
Петродворцовый,4,1,8670000.0,106250.00000000001,106250.00000000001,106250.00000000001
Приморский,0,29,6800000.0,287169.04276985745,261506.27615062764,305240.1746724891
Приморский,1,30,8917000.0,241087.7464576749,214780.7574315032,273640.8199643494
Приморский,2,22,15050000.0,259046.38838475497,211170.17272627258,313750.0
Приморский,3,18,17641589.0,218426.67944535988,201216.73486983735,292694.42405561253
Приморский,4,20,25664732.0,238028.8926499033,181470.97166302908,283369.54770755884
Пушкинский,0,11,5790000.0,213586.68871434475,205653.92054753756,241282.6302115551
Пушкинский,1,14,6550000.0,206115.77964519142,173535.57164658897,219166.66666666666
Пушкинский,2,7,7400000.0,168269.23076923075,154973.9017398181,178399.31186603912
Пушкинский,3,9,12900000.0,181688.3116883117,125636.94267515923,196013.28903654485
Пушкинский,4,2,67380618.5,423085.6366947131,419981.004332538,426190.2690568882
Фрунзенский,0,9,6990000.0,284420.28985507245,254307.1161048689,379253.9655172414
Фрунзенский,1,6,13807102.0,380289.5911386957,236841.4388994025,417904.0408778915
Фрунзенский,2,11,10500000.0,209580.8383233533,176024.05910339224,361519.99209946534
Фрунзенский,3,3,23607668.0,278720.9917355372,231953.08846036118,328692.49485754
Фрунзенский,4,7,26500000.0,252380.95238095237,183635.6425171867,356298.06813114096
Центральный,0,14,7225000.0,371146.2450592885,349434.6733668342,631163.7931034482
Центральный,1,13,23845250.0,531697.3415132924,472702.7027027027,645000.0
Центральный,2,24,40793354.0,559365.9691809656,362959.79469632165,605192.2549517521
