underground,underground_ads_count,underground_median_price,underground_median_price_per_sqm,underground_p25_price_per_sqm,underground_p75_price_per_sqm
unknown,47,19900000.0,390000.0,255879.99731074355,517735.35515320336
Автово,3,8500000.0,173824.1308793456,159484.63801224536,182792.74725785461
Адмиралтейская,7,64900000.0,408236.99421965313,345764.63505594037,500278.7359000653
Академическая,13,16000000.0,222841.22562674095,186956.52173913043,293733.681462141
Балтийская,24,19487440.0,489918.4408501023,447802.11723439646,572020.1837657281
Беговая,29,9802294.0,240710.82390953152,210180.94089264172,306436.1191162344
Бухарестская,3,6990000.0,301293.1034482759,263249.0107405314,324200.27073240245
Василеостровская,43,27900960.0,403090.15256588074,244769.5453830423,459065.00739980966
Владимирская,4,9300000.0,354651.16279069765,307587.97653958946,362658.5623678647
Волковская,1,9000000.0,174757.28155339806,174757.28155339806,174757.28155339806
Выборгская,11,28000000.0,447906.52385589096,309612.72306890716,480500.0
Горный институт,49,24258479.0,491000.0,424440.0,576720.0
Горьковская,11,44900000.0,464033.850493653,355758.11508745083,568677.0747740346
Гостиный двор,4,115000000.0,463409.2542971048,427233.5875822172,521291.2087912088
Гражданский проспект,10,9750000.0,198592.87054409005,177648.37891751586,215814.54222778996
Девяткино,15,4537224.0,207870.37037037036,195758.49544753472,213107.56097560975
Достоевская,3,28350000.0,261700.36001107728,238681.50530674346,434850.1800055386
Дунайская,1,10500000.0,209580.8383233533,209580.8383233533,209580.8383233533
Елизаровская,4,7150000.0,317727.2727272727,293872.0761996624,343072.2891566265
Звездная,43,9590757.0,294827.5862068966,224474.7194575878,354639.3791256695
Звенигородская,4,66745000.0,703716.3795544135,404595.1469180352,1043513.2957292506
Зенит,3,16797000.0,330000.0,320202.21223643277,337013.65187713306
Кировский завод,4,9929741.0,218716.24732651326,198794.14353258768,233205.85874581485
Комендантский проспект,62,11400000.0,258025.86534804112,212350.63966555786,313750.0
Крестовский остров,69,105000000.0,775889.9676375405,607500.0,1050000.0
Купчино,32,7495000.0,211094.97047056584,198690.38857472915,238287.2080291971
Ладожская,16,8100000.0,244458.12807881774,189389.65874986106,325733.2609125025
Ленинский проспект,9,9570000.0,254629.62962962964,207011.68614357262,319565.2173913043
Лесная,37,13355877.0,359100.0,250000.0,393258.42696629214
Лиговский проспект,6,9900000.0,210892.16306607611,164627.9706740875,331240.70945945947
Ломоносовская,28,7400000.0,202820.86979581014,183649.6889170094,226678.90459640961
Маяковская,4,28150000.0,316705.0778373516,267055.442506632,355261.8328298087
Международная,3,7890000.0,200819.67213114756,185431.3877897117,227563.39411800823
Московская,34,19750000.0,368624.6176101299,230362.88470372072,720562.5
Московские ворота,16,30457890.5,569999.7957895484,441149.1935483871,668525.0
Нарвская,7,20544750.0,459300.00000000006,250702.4988213107,494700.0
Невский проспект,1,53300000.0,575593.9524838013,575593.9524838013,575593.9524838013
Новочеркасская,28,25104484.5,444642.74811083125,355837.5,512076.8111093196
Обводный канал,20,17343499.5,385522.5051466804,295973.35138216015,426557.9919079805
Озерки,4,11375000.0,196624.64728254202,165091.6650916651,224894.38053547795
Парк Победы,3,7400000.0,165919.28251121077,164982.11316571775,182742.72151590907
Парнас,14,7850000.0,225945.53060701783,203626.49866103235,261172.79510923312
Петроградская,37,50900000.0,459966.6388657214,414269.2750287687,650000.0
Пионерская,6,10999364.0,250931.05773122894,191239.14657092388,349044.85411604866
Площадь Александра Невского,35,35693422.0,625000.0,555289.7769297812,706503.2363162467
Площадь Восстания,19,23500000.0,286041.1899313501,208990.40969463505,395977.86089159676
Площадь Ленина,7,80000000.0,490196.0784313726,310500.6884045804,1162007.8343270256
Площадь Мужества,6,14300000.0,251935.8130849239,247168.78971816134,255577.18615174157
Политехническая,3,8540000.0,220735.78595317726,217610.2328094577,285367.8929765886
Приморская,73,22280000.0,414540.0,355671.14093959733,468620.6724137931
Пролетарская,4,6675000.0,237295.03562139545,213041.59326139616,267875.3753753754
Проспект Большевиков,13,11950000.0,215652.1739130435,184986.59517426274,279835.39094650204
Проспект Ветеранов,14,8300000.0,177077.9877979245,164294.958968347,214527.33390949378
Проспект Просвещения,35,9900000.0,229117.64705882352,178772.9364833445,279693.9024390244
Проспект Славы,6,9350000.0,243361.1025403682,197474.2020638349,267095.2380952381
Путиловская,1,12700000.0,222807.01754385966,222807.01754385966,222807.01754385966
Пушкинская,4,15745000.0,225448.55568790948,214089.50720192053,237556.76909786498
Рыбацкое,12,6575000.0,189494.43052436158,165480.64611444896,210909.0909090909
Садовая,14,19528670.0,463750.0,387982.5,497500.0
Сенная площадь,2,50942777.5,400721.5424617501,390836.9617070655,410606.1232164346
Спасская,2,24449500.0,244955.295464414,204677.8411558047,285232.74977302336
Спортивная,44,38450000.0,636691.4335664336,466248.48787486635,964962.5076891531
Старая Деревня,10,12849999.5,239117.1153240119,215743.79752066117,283249.985
Технологический институт,7,16706808.0,444330.0,188344.02709804592,456840.0
Удельная,8,18100000.0,288199.5219554021,261616.94780547055,316276.9657789333
Улица Дыбенко,23,10571122.0,226660.0,199068.28017997573,283016.46808134136
Фрунзенская,10,14049999.5,438359.34664246824,398405.74954907777,463745.7418279336
Черная речка,19,44200000.0,500658.7615283267,347389.5582329317,945000.0
Чернышевская,32,49135000.0,503583.5303388495,276041.2961878758,803855.975485189
Чкаловская,50,65500613.5,676550.1672240803,551580.3395021516,840090.1701805224
Шушары,18,7450000.0,145612.922705314,128822.01343198246,164048.5800516345
Электросила,8,19075000.0,350390.51297248725,310177.1663757005,366702.57731958764
Юго-Западная,49,8600000.0,227835.03496503495,191335.74007220217,261158.53658536586
